Protein,Status,logFC,AveExpr,t,P.Value,FDR,B,Protein.panel_3,Protein.panel
CPOX,M47_status,0.017692369,0.01028577,2.323474442,0.020158264,0.042852804,-4.659579148,Inflammation,Inflammation
CPQ,M47_status,0.033054144,-0.011067726,3.223102635,0.00126901,0.003410947,-2.184529621,Cardiometabolic,Cardiometabolic
CPXM1,M47_status,0.05530326,0.026589912,2.915984999,0.003547199,0.008825731,-3.205404365,Other,Oncology
CR1,M47_status,0.03624903,0.008560427,3.606967685,0.000310134,0.000917532,-0.881626575,Inflammation,Inflammation
CRYBB1,M47_status,0.043988648,0.036790182,2.425123438,0.015307109,0.033290684,-4.429438934,Cardiometabolic,Cardiometabolic
CSF3R,M47_status,0.025353763,0.009672237,2.949803381,0.003181455,0.007961809,-3.015118946,Inflammation,Inflammation
CST7,M47_status,0.102066579,0.127281924,3.941749132,8.1e-05,0.00026335,0.300829035,Inflammation,Inflammation
CTSE,M47_status,0.040377379,0.011443468,2.758589493,0.005807548,0.013778784,-3.556736343,Inflammation,Inflammation
CWC15,M47_status,0.068441456,0.127508185,3.94848511,7.88e-05,0.000256965,0.409933569,Other,Oncology
CXCL5,M47_status,0.084353427,0.002514731,2.602780601,0.009249767,0.021155767,-4.062724148,Cardiometabolic,Cardiometabolic
DCC,M47_status,-0.023324183,0.008334836,-3.715790943,0.000202822,0.000619487,-0.467831305,Other,Neurology
DDI2,M47_status,-0.070749216,0.045342368,-3.185670041,0.001445204,0.003836812,-2.292805521,Inflammation,Inflammation
DDX39A,M47_status,0.01569982,0.008136352,2.500341832,0.012411002,0.027482848,-4.234772761,Inflammation,Inflammation
DDX58,M47_status,0.050739638,0.073775419,3.159027464,0.001583902,0.00416344,-2.458218327,Other,Oncology
DGCR6,M47_status,0.028875594,0.046967103,2.35262544,0.018645845,0.039957335,-4.580376797,Other,Neurology
DGKA,M47_status,0.047269634,0.048214529,3.124979978,0.001779341,0.004647911,-2.485302745,Inflammation,Inflammation
DHRS4L2,M47_status,0.030802016,0.065218705,2.359338706,0.018311814,0.039414898,-4.581936044,Other,Neurology
DIPK2B,M47_status,0.030320059,0.012498507,3.707862397,0.000209274,0.000636532,-0.50072489,Inflammation,Inflammation
DKK1,M47_status,0.068522072,-0.014867991,4.172461815,3.02e-05,0.000104157,1.230688892,Other,Neurology
DKKL1,M47_status,0.05714508,-0.157809091,2.355524626,0.018500314,0.039732857,-4.671623545,Other,Oncology
DNAJA2,M47_status,0.058933445,-0.025181007,2.592981036,0.009517469,0.021700127,-4.093704896,Inflammation,Inflammation
DPEP1,M47_status,-0.053652993,-0.061071095,-3.911124166,9.2e-05,0.000296445,0.187821317,Other,Neurology
EDAR,M47_status,-0.063961758,0.021837134,-2.53367747,0.011290199,0.025245899,-4.238237768,Inflammation,Inflammation
EEF1D,M47_status,0.059117147,0.049225452,2.28580828,0.022270125,0.046831349,-4.75625124,Cardiometabolic,Cardiometabolic
EIF4G1,M47_status,0.077883232,-0.064099309,2.819070227,0.004818114,0.011658401,-3.484886829,Inflammation,Inflammation
ENG,M47_status,-0.014896171,0.001717049,-3.12942392,0.001752459,0.00458589,-2.565336565,Cardiometabolic,Cardiometabolic
ENTPD5,M47_status,0.021454338,-0.013452977,3.618872053,0.000296178,0.000877132,-0.908041854,Cardiometabolic,Cardiometabolic
ENTR1,M47_status,0.054592176,0.100141508,3.244428644,0.001177751,0.003184613,-2.103015447,Cardiometabolic,Cardiometabolic
EP300,M47_status,0.022858518,0.004815794,2.693960586,0.00706356,0.016530653,-3.734026347,Inflammation,Inflammation
EPCAM,M47_status,0.085173419,0.063903991,3.155355534,0.001603949,0.004210578,-2.478300083,Inflammation,Inflammation
EPHB6,M47_status,0.050130935,0.006386737,5.725049864,1.04e-08,5.07e-08,8.893596115,Other,Neurology
FCN1,M47_status,0.081196373,-0.034828703,5.076849702,3.85e-07,1.63e-06,5.471919952,Inflammation,Inflammation
FCN2,M47_status,0.029488012,-0.056122814,2.56925171,0.010194638,0.022939898,-4.149657835,Cardiometabolic,Cardiometabolic
FCRL1,M47_status,0.029508204,0.007053042,2.320406424,0.020322786,0.0431398,-4.757359142,Cardiometabolic,Cardiometabolic
FCRL2,M47_status,0.039607214,0.028712995,2.908181389,0.003636916,0.009039716,-3.22675179,Inflammation,Inflammation
FCRL3,M47_status,0.036300823,-0.014640723,2.430113255,0.015097561,0.032908405,-4.488833677,Inflammation,Inflammation
FEN1,M47_status,0.063999714,0.109010217,3.516848742,0.000437087,0.001261209,-1.268190732,Other,Oncology
FES,M47_status,0.050897001,0.027346337,3.890229255,0.000100278,0.000320343,0.109522554,Other,Oncology
FGFBP3,M47_status,0.027959875,0.002719704,2.672276339,0.007536591,0.017581368,-3.797901116,Other,Neurology
FGR,M47_status,0.093904963,0.078306233,5.585662563,2.34e-08,1.11e-07,8.11243937,Other,Neurology
FIS1,M47_status,0.058943005,0.061291349,2.769076088,0.005623561,0.013363959,-3.619309784,Inflammation,Inflammation
FLT1,M47_status,0.028886368,0.013392875,4.689697499,2.74e-06,1.04e-05,3.520995147,Other,Oncology
FMNL1,M47_status,0.09154482,0.055776521,5.06094972,4.19e-07,1.76e-06,5.330406258,Other,Neurology
FN1,M47_status,0.030179758,0.005792702,3.97013117,7.19e-05,0.000236287,0.489222767,Inflammation,Inflammation
FOS,M47_status,0.033111577,-0.013818564,3.332652225,0.000860947,0.002385355,-1.808779823,Other,Oncology
FOSB,M47_status,0.027873818,0.028978343,2.606302366,0.009155259,0.020972432,-4.044429168,Other,Neurology
FOXJ3,M47_status,0.035756974,0.04899709,2.849239936,0.004384439,0.010769508,-3.305469798,Inflammation,Inflammation
FYB1,M47_status,0.057517505,-0.01816776,2.260497239,0.023794568,0.049715169,-4.893258808,Other,Neurology
GALNT2,M47_status,-0.019928461,0.00115091,-2.73421421,0.006255053,0.014768593,-3.71991126,Other,Oncology
GALNT5,M47_status,0.026142566,-0.000465636,3.355790968,0.000792041,0.002209099,-1.750548514,Cardiometabolic,Cardiometabolic
GAMT,M47_status,0.022995165,0.04621339,2.280113587,0.022605788,0.047434831,-4.754289459,Cardiometabolic,Cardiometabolic
GATD3,M47_status,0.050512562,0.06166458,2.348775628,0.018839692,0.040343164,-4.597139854,Cardiometabolic,Cardiometabolic
GBP2,M47_status,0.064205961,-0.000233043,3.91794606,8.94e-05,0.000288788,0.216448088,Inflammation,Inflammation
GFRA2,M47_status,0.018884715,-0.007078841,3.271149299,0.00107182,0.002917067,-2.104792681,Other,Oncology
GIGYF2,M47_status,0.075876639,0.061926157,3.525271614,0.000423472,0.00122313,-1.166748727,Other,Neurology
GIMAP8,M47_status,0.039294787,0.042935628,2.772057146,0.00557271,0.013264684,-3.514504897,Other,Oncology
GNPDA1,M47_status,0.02176516,0.036934525,2.352780736,0.018638036,0.039957335,-4.587764266,Cardiometabolic,Cardiometabolic
GPA33,M47_status,0.104799933,0.018341545,2.792902181,0.005225683,0.012499732,-3.549679053,Other,Oncology
GPI,M47_status,0.035903422,0.041848739,2.718423095,0.006561912,0.015405999,-3.681111327,Inflammation,Inflammation
HBQ1,M47_status,-0.062874309,0.048540508,-3.643479499,0.000269239,0.000802227,-0.830627305,Other,Oncology
HCLS1,M47_status,0.041793895,-0.029522347,2.717351099,0.00658285,0.015442753,-3.765488263,Inflammation,Inflammation
HDGFL2,M47_status,0.066191895,0.051128988,3.677509567,0.000235798,0.000713497,-0.619876072,Other,Neurology
HPSE,M47_status,0.069339201,-0.039414185,2.664328067,0.007717027,0.01793074,-3.818526309,Cardiometabolic,Cardiometabolic
HRG,M47_status,0.041795295,-0.00498674,4.727028553,2.29e-06,8.8e-06,3.766918527,Inflammation,Inflammation
HS1BP3,M47_status,0.068266603,0.017816874,2.732985701,0.006278835,0.014800834,-3.625028687,Cardiometabolic,Cardiometabolic
HS6ST1,M47_status,0.022155377,0.004653495,2.330501979,0.019783442,0.04214796,-4.738727487,Other,Oncology
HSPA1A,M47_status,0.085164357,0.053942224,4.277083068,1.9e-05,6.63e-05,1.673493488,Inflammation,Inflammation
ICAM3,M47_status,0.023955285,0.008538799,3.339592614,0.000839601,0.002330631,-1.887941681,Cardiometabolic,Cardiometabolic
IDO1,M47_status,0.046720832,0.047659696,2.572302297,0.010105742,0.02279131,-4.049459993,Inflammation,Inflammation
IDUA,M47_status,0.067830232,-0.028358959,5.265451559,1.4e-07,6.28e-07,6.36750884,Other,Oncology
IFNG,M47_status,0.123558265,-0.017676617,3.90179337,9.56e-05,0.000306422,0.153528264,Inflammation,Inflammation
IL1B,M47_status,0.051614776,0.070671068,3.278384792,0.001044738,0.002851324,-2.074891217,Inflammation,Inflammation
IL1RL2,M47_status,0.040366396,-0.016725289,3.590387229,0.0003305,0.000975808,-1.008713253,Inflammation,Inflammation
IL20RB,M47_status,0.033784961,0.003251262,2.91595688,0.003547805,0.008825731,-3.11396578,Inflammation,Inflammation
IL2RG,M47_status,0.025582411,0.031088828,2.482975752,0.013032644,0.028743668,-4.286046086,Other,Oncology
ILKAP,M47_status,0.062814346,0.029766135,3.931452549,8.45e-05,0.000274286,0.272045253,Other,Neurology
ING1,M47_status,0.046876318,0.027085989,3.65028859,0.000262211,0.000782085,-0.790108645,Other,Neurology
